pfam_acc	pfam_name	class
PF13975	gag-asp_proteas	retroviral_diagnostic
PF01140	Gag_MA	retroviral_diagnostic
PF02337	Gag_p10	retroviral_diagnostic
PF01141	Gag_p12	retroviral_diagnostic
PF00607	Gag_p24	retroviral_diagnostic
PF19317	Gag_p24_C	retroviral_diagnostic
PF02093	Gag_p30	retroviral_diagnostic
PF00517	GP41	retroviral_diagnostic
PF13804	HERV-K_env_2	retroviral_diagnostic
PF15695	HERV-K_REC	retroviral_diagnostic
PF00552	IN_DBD_C	retroviral_diagnostic
PF17921	Integrase_H2C2	retroviral_diagnostic
PF02022	Integrase_Zn	retroviral_diagnostic
PF18697	MLVIN_C	retroviral_diagnostic
PF27608	RNaseH_ERVK-8	retroviral_diagnostic
PF24764	rva_4	retroviral_diagnostic
PF00665	rve	retroviral_diagnostic
PF13683	rve_3	retroviral_diagnostic
PF00077	RVP	retroviral_diagnostic
PF00429	TLV_coat	retroviral_diagnostic
PF14787	zf-CCHC_5	retroviral_diagnostic
PF14529	Exo_endo_phos_2	retroelement_shared
PF00075	RNase_H	retroelement_shared
PF17917	RT_RNaseH	retroelement_shared
PF17919	RT_RNaseH_2	retroelement_shared
PF00078	RVT_1	retroelement_shared
PF06817	RVT_thumb	retroelement_shared
PF03372	Exo_endo_phos	non_ltr
PF29843	ORF2p_C	non_ltr
PF29845	PUB_ORF2p	non_ltr
PF17490	Tnp_22_dsRBD	non_ltr
PF17489	Tnp_22_trimer	non_ltr
PF02994	Transposase_22	non_ltr
PF03184	DDE_1	dna_transposon
PF13610	DDE_Tnp_IS240	dna_transposon
PF05699	Dimer_Tnp_hAT	dna_transposon
PF17906	HTH_48	dna_transposon
PF03221	HTH_Tnp_Tc5	dna_transposon
PF29688	TnsB_C	dna_transposon
PF01359	Transposase_1	dna_transposon
PF00001	7tm_1	other
PF13853	7tm_4	other
PF00023	Ank	other
PF12796	Ank_2	other
PF13637	Ank_4	other
PF13857	Ank_5	other
PF01442	Apolipoprotein	other
PF00025	Arf	other
PF13650	Asp_protease_2	other
PF03154	Atrophin-1	other
PF23381	Beta-prop_IFT122_1st	other
PF25174	Beta-prop_THOC3	other
PF25173	Beta-prop_WDR3_1st	other
PF25175	Beta-prop_WDR5	other
PF04160	Borrelia_orfX	other
PF07654	C1-set	other
PF00028	Cadherin	other
PF30679	CCDC18_2nd	other
PF30843	CCDC8	other
PF04218	CENP-B_N	other
PF01391	Collagen	other
PF02389	Cornifin	other
PF22769	DCD	other
PF07889	DUF1664	other
PF12488	DUF3704	other
PF13054	DUF3915	other
PF14291	DUF4371	other
PF14386	DUF4417	other
PF17687	DUF5535	other
PF17714	DUF5559	other
PF24362	DUF7518	other
PF27939	DUF8363	other
PF06103	DUF948	other
PF00692	dUTPase	other
PF07645	EGF_CA	other
PF02095	Extensin_1	other
PF27046	FAM200-GTF2IRD2-like	other
PF27073	FAM200-ZBED5_RNase-like	other
PF15832	FAM27	other
PF00210	Ferritin	other
PF08017	Fibrinogen_BP	other
PF00038	Filament	other
PF00041	fn3	other
PF00523	Fusion_gly	other
PF01585	G-patch	other
PF12656	G-patch_2	other
PF02800	Gp_dh_C	other
PF00044	Gp_dh_N	other
PF29337	GRP0	other
PF00009	GTP_EFTU	other
PF00271	Helicase_C	other
PF01085	HH_signal	other
PF00125	Histone	other
PF00505	HMG_box	other
PF09011	HMG_box_2	other
PF00046	Homeodomain	other
PF07679	I-set	other
PF00047	ig	other
PF13895	Ig_2	other
PF13927	Ig_3	other
PF13885	Keratin_B2_2	other
PF01352	KRAB	other
PF10241	KxDL	other
PF12799	LRR_4	other
PF13855	LRR_8	other
PF26139	MDS2_C	other
PF00129	MHC_I	other
PF00063	Myosin_head	other
PF12011	NPH-II	other
PF00067	p450	other
PF01469	Pentapeptide_2	other
PF21530	Pif1_2B_dom	other
PF07714	PK_Tyr_Ser-Thr	other
PF00069	Pkinase	other
PF04886	PT	other
PF24627	PUMA_CC	other
PF11976	Rad60-SLD	other
PF00071	Ras	other
PF00680	RdRP_1	other
PF01157	Ribosomal_L21e	other
PF00237	Ribosomal_L22	other
PF01248	Ribosomal_L7Ae	other
PF08477	Roc	other
PF00076	RRM_1	other
PF02513	Spin-Ssty	other
PF00622	SPRY	other
PF00084	Sushi	other
PF00804	Syntaxin	other
PF04822	Takusan	other
PF05887	Trypan_PARP	other
PF00089	Trypsin	other
PF27846	tSAM_targ_Cxxx_rpt	other
PF00240	ubiquitin	other
PF00179	UQ_con	other
PF07686	V-set	other
PF00400	WD40	other
PF00096	zf-C2H2	other
PF16588	zf-C2H2_10	other
PF13894	zf-C2H2_4	other
PF13912	zf-C2H2_6	other
PF00097	zf-C3HC4	other
PF13923	zf-C3HC4_2	other
PF13920	zf-C3HC4_3	other
PF15227	zf-C3HC4_4	other
PF00098	zf-CCHC	other
PF13696	zf-CCHC_2	other
PF09337	zf-H2C2	other
PF13465	zf-H2C2_2	other
PF16721	zf-H3C2	other
PF13639	zf-RING_2	other
PF13445	zf-RING_UBOX	other
