Family,Abbreviation,Name,Probe,Accession
Bornaviridae,BDV,Borna disease virus,N_protein,AAR36966.2
Bornaviridae,BDV,Borna disease virus,P_protein,AAR36968.2
Bornaviridae,BDV,Borna disease virus,G_protein,NP_042023.1
Bornaviridae,BDV,Borna disease virus,L_protein,UPO09296.1
Bornaviridae,BDV,Borna disease virus,X_protein,WWZ81731.1
Bornaviridae,BDV,Borna disease virus,M_protein,WXB24237.1
Alpharetrovirus,ALV,Avian leukosis virus,POL,AJG42161.1
Alpharetrovirus,RSV,Rous sarcoma virus,POL,CAA48535.1
Betaretrovirus,SRV,Simian retrovirus 2,POL,ATN28189.1
Betaretrovirus,JSRV,Jaagsiekte sheep retrovirus,POL,AAD45226.1
Gammaretrovirus,DrERV,Desmodus rotundus endogenous retrovirus,POL,AJR27940.1
Gammaretrovirus,PoERV,Porcine endogenous retrovirus,POL,AAL38193.1
Gammaretrovirus,KoRV,Koala retrovirus,POL,YP_009513211.1
Deltaretrovirus,BLV,Bovine leukemia virus,POL,BAA00544.1
Deltaretrovirus,HTLV-2,Human T-lymphotropic virus type 2,POL,AAD34842.1
Epsilonretrovirus,WEHV,Walleye epidermal hyperplasia virus 1,POL,AAD30048.1
Lentivirus,HIV-1,Human immunodeficiency virus type 1,POL,NP_789740.1
Lentivirus,FIV,Feline immunodeficiency virus,POL,CAA40318.1
Spumaretrovirus,BFV,Bovine foamy virus,POL,AFR79239.1
Spumaretrovirus,FFV,Feline foamy virus,POL,CAA11581.1
Gammaretrovirus,MjERVk,Manis javanica endogenous retrovirus group K,POL,KAI5929250.1
Alpharetrovirus,ALV,Avian leukosis virus,ENV,AJG42162.1
Alpharetrovirus,RSV,Rous sarcoma virus,ENV,CAA48536.1
Betaretrovirus,SRV,Simian retrovirus 2,ENV,ATN28190.1
Betaretrovirus,JSRV,Jaagsiekte sheep retrovirus,ENV,NP_041188.1
Gammaretrovirus,DrERV,Desmodus rotundus endogenous retrovirus,ENV,AJR27937.1
Gammaretrovirus,PoERV,Porcine endogenous retrovirus,ENV,CAA76583.1
Gammaretrovirus,KoRV,Koala retrovirus,ENV,YP_009513212.1
Deltaretrovirus,BLV,Bovine leukemia virus,ENV,ALB75304.1
Deltaretrovirus,HTLV-2,Human T-lymphotropic virus type 2,ENV,AAD34843.1
Epsilonretrovirus,WEHV,Walleye epidermal hyperplasia virus 1,ENV,AAD30049.1
Lentivirus,HIV-1,Human immunodeficiency virus type 1,ENV,AAC82596.1
Lentivirus,FIV,Feline immunodeficiency virus,ENV,AAB59940.1
Spumaretrovirus,BFV,Bovine foamy virus,ENV,AAB68771.1
Spumaretrovirus,FFV,Feline foamy virus,ENV,CAA70076.1
Gammaretrovirus,MjERVk,Manis javanica endogenous retrovirus group K,ENV,KAI5946619.1
Alpharetrovirus,ALV,Avian leukosis virus,GAG,AJG42160.1
Alpharetrovirus,RSV,Rous sarcoma virus,GAG,CAA48534.1
Betaretrovirus,SRV,Simian retrovirus 2,GAG,ATN28187.1
Betaretrovirus,JSRV,Jaagsiekte sheep retrovirus,GAG,AAA89180.1
Gammaretrovirus,DrERV,Desmodus rotundus endogenous retrovirus,GAG,AJR27933.1
Gammaretrovirus,PoERV,Porcine endogenous retrovirus,GAG,ADG27335.1
