,Family,Virus,Abbreviation,Species,Probe,Accession,Identifier,Strand
CM014226.1-8U35MP,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,8U35MP,+
CM014226.1-LK6YJB,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,LK6YJB,+
CM014226.1-DDZNG3,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,DDZNG3,+
CM014226.1-3KGX1F,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,3KGX1F,+
CM014226.1-U2TXYL,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,U2TXYL,+
CM014226.1-55C0H1,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,55C0H1,+
CM014226.1-65WRZY,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,65WRZY,+
CM014226.1-P7545P,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,P7545P,+
CM014226.1-WMDTO9,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,WMDTO9,+
CM014226.1-XE7JCQ,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,XE7JCQ,+
CM014226.1-XM6M98,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,XM6M98,+
CM014226.1-FBURUW,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,FBURUW,+
CM014226.1-DZ8ZKM,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,DZ8ZKM,+
CM014226.1-685F7N,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,685F7N,+
CM014226.1-43WYZS,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,43WYZS,+
CM014226.1-64OVON,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,64OVON,+
CM014226.1-VALSRK,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,VALSRK,+
CM014226.1-YD84UC,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,YD84UC,+
CM014226.1-ZL8JB1,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,ZL8JB1,+
CM014226.1-OM241K,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,OM241K,+
CM014226.1-J1IXET,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,J1IXET,+
CM014226.1-OQ7RVR,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,OQ7RVR,+
CM014226.1-NADJ4V,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,NADJ4V,+
CM014226.1-QXHVMN,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,QXHVMN,+
CM014226.1-ASQXTR,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,ASQXTR,+
CM014226.1-CYKQ68,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,CYKQ68,+
CM014226.1-1N7W05,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,1N7W05,+
CM014226.1-QNDTZI,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,QNDTZI,+
CM014226.1-OVGCG9,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,OVGCG9,+
CM014226.1-22566Z,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,22566Z,+
CM014226.1-QWF8CJ,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,QWF8CJ,+
CM014226.1-RAEBKL,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,RAEBKL,+
CM014226.1-EF33TG,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,EF33TG,+
CM014226.1-A62YA3,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,A62YA3,+
CM014226.1-LNTJ3F,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,LNTJ3F,+
CM014226.1-14B8M6,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,14B8M6,+
CM014226.1-TJDF5P,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,TJDF5P,+
CM014226.1-LUUVEE,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,LUUVEE,+
CM014226.1-MZZ076,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,MZZ076,+
CM014226.1-W1BKIN,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,W1BKIN,+
CM014226.1-DN0YN8,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,DN0YN8,+
CM014226.1-M4BL4W,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,M4BL4W,+
CM014226.1-S56ZVR,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,S56ZVR,+
CM014226.1-D48OFA,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,D48OFA,+
CM014226.1-E2TERS,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,E2TERS,+
CM014226.1-QJ2NBU,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,QJ2NBU,+
CM014226.1-OOI2Q2,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,OOI2Q2,+
CM014226.1-4J7PID,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,4J7PID,+
CM014226.1-71CHXM,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,71CHXM,+
CM014226.1-5G9PIB,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,5G9PIB,+
CM014226.1-SVTZ1P,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,SVTZ1P,+
CM014226.1-BDHYQK,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,BDHYQK,+
CM014226.1-70VXXH,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,70VXXH,+
CM014226.1-QLP972,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,QLP972,+
CM014226.1-LY2D0W,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,LY2D0W,+
CM014226.1-85OFAN,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,85OFAN,+
CM014226.1-7SCOOU,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,7SCOOU,+
CM014226.1-CM11UR,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,CM11UR,+
CM014226.1-FPN6EZ,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,FPN6EZ,+
CM014226.1-TX71GR,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,TX71GR,+
CM014226.1-V059JU,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,V059JU,+
CM014226.1-6W2EMW,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,6W2EMW,+
CM014226.1-RKE6W0,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,RKE6W0,+
